section,statistic,value,definition
fill_by_distance,6_to_10_fill_rate_orders,0.021688,"orders with at least one execution / orders, this bucket"
fill_by_distance,over_10_orders,51319,"adds whose price sat in this bucket relative to the same-side best just before the add (cents; improve < 0, at_best = 0)"
fill_by_distance,over_10_share_of_adds,0.268665,bucket orders / orders added
fill_by_distance,over_10_fill_rate_shares,0.027868,"shares executed / shares added, this bucket"
fill_by_distance,over_10_fill_rate_orders,0.018882,"orders with at least one execution / orders, this bucket"
fill_by_distance,unknown_orders,1,"adds whose price sat in this bucket relative to the same-side best just before the add (cents; improve < 0, at_best = 0)"
fill_by_distance,unknown_share_of_adds,0.000005,bucket orders / orders added
fill_by_distance,unknown_fill_rate_shares,0.000000,"shares executed / shares added, this bucket"
fill_by_distance,unknown_fill_rate_orders,0.000000,"orders with at least one execution / orders, this bucket"
sizes,adds_round_lot_share,0.685789,adds with size a multiple of 100
sizes,adds_odd_lot_share,0.308368,adds with size under 100
sizes,adds_mixed_lot_share,0.005842,adds over 100 and not a multiple of 100
sizes,add_size_p50,100,"median add size, shares"
sizes,add_size_mean,89.971871,"mean add size, shares"
cancel_to_trade,by_messages_full_day,4.983881,"(type 2 + type 3 messages) / (type 4 + type 5 messages), 9:30 to 16:00"
cancel_to_trade,by_messages_midas_window,5.037545,"(type 2 + type 3) / (type 4 + type 5), 9:35 to 16:00, the SEC MIDAS window"
cancel_to_trade,by_orders,10.330787,adds ending cancelled / adds ending executed (censored adds excluded)
cancel_to_trade,by_shares,9.114484,"shares cancelled / shares executed, visible adds only"
cancel_to_trade,hidden_share_of_executions,0.323864,type 5 / (type 4 + type 5)
cancel_to_trade,odd_lot_share_of_executions,0.538725,executions (types 4 and 5) under 100 shares / all executions
accounting,dark_ops,8381,"operations on ids the file never added (pre-window or below-band), by any type"
accounting,dark_shares,867236,shares in dark ops
accounting,hidden_execs,11332,type-5 messages (order id 0)
accounting,size_disagreements,2,"removals larger than what rested, or deletes naming a different size (the Day 2 counter)"
accounting,readded_ids,0,ADDs for an id already alive
